手伝う	てつだう
受ける	うける
拾う	ひろう
住所	じゅうしょ
勝つ	かつ
焼く	やく
焼ける	やける
場所	ばしょ
植える	うえる
心配	しんぱい
森	もり
深い	ふかい
申し上げる	もうしあげる
申す	もうす
真面目	まじめ
神社	じんじゃ
進む	すすむ
人形	にんぎょう
水泳	すいえい
数学	すうがく
星	ほし
生活	せいかつ
製	せい
昔	むかし
石	いし
線	せん
全然	ぜんぜん
相談	そうだん
草	くさ
息子	むすこ
打つ	うつ
虫	むし
調べる	しらべる
点	てん
伝える	つたえる
島	しま
投げる	なげる
湯	ゆ
道具	どうぐ
日記	にっき
倍	ばい
反対	はんたい
番組	ばんぐみ
悲しい	かなしい
飛行場	ひこうじょう
美しい	うつくしい
美術館	びじゅつかん
負ける	まける
部長	ぶちょう
文化	ぶんか
返事	へんじ
放送	ほうそう
貿易	ぼうえき
無くなる	なくなる
無理	むり
鳴る	なる
毛	け
役に立つ	やくにたつ
遊び	あそび
予習	よしゅう
予定	よてい
様	さま
葉	は
落ちる	おちる
理由	りゆう
留守	るす
両方	りょうほう
例えば	たとえば
礼	れい
選ぶ	えらぶ
決まる	きまる
具合	ぐあい
全て	すべて
確か	たしか
直す	なおす
直る	なおる
祭り	まつり
お祭り	おまつり
向かう	むかう
島	とう
案内	あんない
移る	うつる
引っ越す	ひっこす
汚れる	よごれる
億	おく
課長	かちょう
過ぎる	すぎる
会議	かいぎ
掛ける	かける
割れる	われる
乾く	かわく
慣れる	なれる
簡単	かんたん
間違える	まちがえる
関係	かんけい
危険	きけん
喜ぶ	よろこぶ
寄る	よる
機会	きかい
機械	きかい
祈る	いのる
季節	きせつ
規則	きそく
技術	ぎじゅつ
久しぶり	ひさしぶり
競争	きょうそう
隅	すみ
景色	けしき
経験	けいけん
経済	けいざい
警察	けいさつ
迎える	むかえる
固い	かたい
原因	げんいん
講堂	こうどう
郊外	こうがい
国際	こくさい
差し上げる	さしあげる
砂	すな
最近	さいきん
最後	さいご
最初	さいしょ
妻	つま
済む	すむ
産業	さんぎょう
残念	ざんねん
市民	しみん
指輪	ゆびわ
支度	したく
枝	えだ
事故	じこ
事務所	じむしょ
似る	にる
失敗	しっぱい
失礼	しつれい
捨てる	すてる
取り替える	とりかえる
手袋	てぶくろ
習慣	しゅうかん
柔道	じゅうどう
準備	じゅんび
女性	じょせい
将来	しょうらい
承知	しょうち
招待	しょうたい
笑う	わらう
紹介	しょうかい
畳	たたみ
触る	さわる
政治	せいじ
席	せき
赤ん坊	あかんぼう
折る	おる
折れる	おれる
専門	せんもん
戦争	せんそう
祖父	そふ
祖母	そぼ
続く	つづく
続ける	つづける
卒業	そつぎょう
男性	だんせい
地震	じしん
恥ずかしい	はずかしい
珍しい	めずらしい
程	ほど
適当	てきとう
電灯	でんとう
電報	でんぽう
塗る	ぬる
土産	みやげ
怒る	おこる
倒れる	たおれる
盗む	ぬすむ
逃げる	にげる
届ける	とどける
曇る	くもる
熱	ねつ
背中	せなか
泊まる	とまる
髪	かみ
比べる	くらべる
必ず	かならず
付く	つく
夫	おっと
布団	ふとん
普通	ふつう
復習	ふくしゅう
複雑	ふくざつ
払う	はらう
仏教	ぶっきょう
文法	ぶんぽう
壁	かべ
変	へん
変える	かえる
変わる	かわる
片付ける	かたづける
暮れる	くれる
法律	ほうりつ
訪ねる	たずねる
亡くなる	なくなる
眠い	ねむい
眠る	ねむる
夢	ゆめ
娘	むすめ
戻る	もどる
約束	やくそく
踊る	おどる
輸出	ゆしゅつ
優しい	やさしい
予約	よやく
踊り	おどり
利用	りよう
裏	うら
冷える	ひえる
歴史	れきし
連れる	つれる
連絡	れんらく
腕	うで
途中	とちゅう
包む	つつむ
頂く	いただく
受付	うけつけ
贈り物	おくりもの
遅れる	おくれる
格好	かっこう
込む	こむ
怖い	こわい
ご存じ	ごぞんじ
探す	さがす
捕まえる	つかまえる
泥棒	どろぼう
治る	なおる
値段	ねだん
乗り換える	のりかえる
増える	ふえる
舟	ふね
周り	まわり
見舞い	みまい
柔らかい	やわらかい
沸く	わく
割合	わりあい
お祝い	おいわい
お嬢さん	おじょうさん
挨拶	あいさつ
為	ため
一生懸命	いっしょうけんめい
嘘	うそ
壊す	こわす
壊れる	こわれる
滑る	すべる
噛む	かむ
